FamilyID	Luden<1>	Ornil<2>	Thmac<3>	Mymur<4>	Gamor<5>	Ammel<6>	Asmec<7>	Asmes<8>	Trros<9>	Trtib<10>	Darer<11>	Sirhi<12>	Sigra<13>	Sians<14>	Miuni<15>	Geser<16>	Ammex<17>	Plwal<18>	Prang<19>	Bubuf<20>	Soara<21>	Ereur<22>	Cocri<23>	Orcun<24>	Ranor<25>	Nagal<26>	Jajac<27>	Hegla<28>	Chlan<29>	Elmax<30>	Chasi<31>	Ectel<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>
OG0000137	-5	6	-1	5	-6	-3	-10	12	-3	8	-3	2	16	-7	1	-1	-1	0	3	-1	1	0	-2	2	-1	3	0	0	0	0	-1	0	0	4	-1	0	0	0	3	0	1	6	2	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
OG0000139	-5	2	4	1	-4	0	1	-1	0	-1	3	0	1	-4	0	-1	4	-2	0	28	0	5	-2	-2	0	-1	1	0	0	-1	1	-1	0	3	0	0	0	0	1	0	1	0	-9	5	0	0	0	0	-2	3	1	0	-3	0	0	0	0	0	0	0	0	0	0
OG0000140	0	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	0	-3	2	12	-1	-7	2	-4	-1	-1	5	6	-4	1	11	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	-1	0	3	0	14	0	-3	0	0	2	9	0	0	2	0
OG0000142	1	0	1	1	0	0	-1	1	1	-1	-1	5	-2	2	0	0	-1	-1	0	1	0	1	-1	-1	0	0	0	0	0	1	0	0	0	7	2	0	0	0	0	0	-1	1	-1	3	7	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	0	0	0	0
OG0000143	-2	7	1	0	-2	1	0	0	0	-1	7	1	0	-1	0	-1	0	1	10	1	4	0	0	-3	0	0	-3	-1	0	-2	-2	1	0	2	1	0	0	1	0	0	-3	0	-2	1	0	0	0	0	0	1	8	0	0	0	1	1	0	0	0	0	0	0	0
OG0000148	0	1	-1	-1	-1	0	0	0	0	0	-1	15	0	0	0	-1	0	6	-1	17	-2	0	0	0	4	0	1	0	0	0	0	0	0	-2	0	0	0	0	0	-1	0	0	0	1	13	0	2	2	0	3	4	0	-1	0	0	0	0	0	1	0	0	-1	0
OG0000149	-1	0	-1	4	2	-1	0	1	0	0	9	0	-1	1	4	-2	-2	2	5	1	-5	1	-1	0	1	1	-1	-4	0	2	-1	0	0	0	-2	-1	-2	0	1	0	1	0	-4	5	0	0	2	0	0	0	1	0	-1	0	0	0	0	0	0	1	0	0	-1
OG0000151	-9	0	13	-3	19	-11	-3	6	1	-2	7	0	-2	2	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	0	0	0	1	-1	1	3	0	5	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
OG0000153	-3	12	-3	7	-2	-2	0	1	0	0	4	-1	2	-1	-1	0	-1	17	-1	-1	3	-2	-2	-2	2	0	-2	0	-1	0	-1	1	0	3	2	0	0	0	0	0	4	0	-2	1	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	1	0	0	0
OG0000154	-1	5	0	-1	-1	-2	1	0	0	-1	1	0	0	0	0	1	1	-2	3	-1	0	-2	-1	1	9	-3	0	0	-2	2	0	-3	0	0	-1	0	0	0	0	0	0	1	0	3	1	0	1	0	1	0	2	0	0	0	-2	0	0	0	1	0	-1	0	0
OG0000155	-2	1	1	2	-1	-2	0	0	-1	0	-2	1	0	1	1	0	3	1	1	-1	0	1	1	0	1	0	0	0	1	1	0	0	0	5	1	0	0	0	0	0	2	0	-1	1	5	0	0	0	1	0	3	0	-1	0	0	0	0	0	0	0	0	0	0
OG0000156	-6	11	-2	1	2	-1	0	0	0	-3	-1	3	-1	1	2	0	1	-1	2	-1	1	2	-3	0	0	1	0	0	-2	-1	0	0	0	1	2	0	0	0	-1	-1	-1	0	0	1	3	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	-2	0	1
OG0000157	1	2	0	-1	-1	1	1	-1	0	1	1	-2	0	1	0	0	2	-2	1	1	0	0	0	0	0	-1	-1	-1	0	0	0	1	0	2	-1	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
OG0000161	-1	0	0	-1	-1	0	0	0	0	0	-1	0	0	0	0	-1	0	-2	1	0	-3	4	-5	8	0	17	-4	-9	6	3	1	-7	0	-2	0	0	0	0	0	-1	0	0	-1	0	0	-1	1	0	-2	0	0	0	10	0	-1	0	4	0	0	2	0	0	0
OG0000162	-10	-3	6	5	13	-9	-2	5	-1	0	17	1	-2	0	0	0	-2	-1	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	2	1	-2	7	-1	0	0	0	-2	0	0	0	-2	0	0	0	0	0	0	0	0	0	0
OG0000165	1	-1	1	1	0	-2	0	1	0	-1	0	0	0	0	0	0	2	-1	-1	0	0	1	0	3	1	0	0	0	0	0	0	-1	0	3	0	0	0	0	1	0	1	1	0	2	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OG0000166	-3	6	5	0	-3	-3	-1	4	-2	0	0	-1	0	0	0	-1	2	2	-2	3	1	1	-2	3	1	-2	0	0	0	0	-1	0	0	3	0	0	0	2	1	0	2	1	-1	2	2	1	0	0	-1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
OG0000167	0	0	1	1	-1	-1	0	0	0	0	0	0	0	1	0	0	0	-1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	1	-1	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000169	17	-5	8	-1	-6	-5	-2	4	-3	0	2	1	1	-1	0	0	1	1	-2	6	0	0	-1	1	0	1	-1	-1	0	0	-1	0	0	1	0	0	0	0	0	0	1	2	-2	8	1	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0
OG0000170	-4	18	-1	1	0	0	2	-2	0	-3	3	3	-1	0	0	0	0	-1	-1	2	0	0	0	0	0	0	-2	0	0	0	-1	1	0	4	1	0	0	0	0	0	-1	1	-1	3	0	0	0	0	1	0	0	0	-3	0	0	0	0	0	0	0	0	0	0
OG0000171	0	0	0	0	0	0	0	0	-2	9	-4	3	4	-3	0	0	1	0	2	3	0	-1	0	1	-1	3	-3	0	4	2	3	-3	0	-1	-3	0	0	0	2	0	-1	4	2	0	7	0	1	0	-5	0	1	0	2	0	-1	0	0	0	0	0	0	0	0
OG0000172	2	0	0	0	-1	-2	0	0	0	1	-1	1	1	-1	0	0	0	4	-1	5	7	-1	0	0	3	-2	-1	0	3	-1	0	0	0	-2	0	0	0	0	0	0	0	0	1	0	0	0	2	2	1	0	2	0	-2	0	0	0	0	0	0	0	0	0	0
OG0000173	-1	0	1	1	1	0	0	0	0	0	0	0	0	1	-1	1	2	-1	1	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
