OG_ID,analysis_paml
OG0007296,paml_selected
OG0007309,paml_selected
OG0007333,paml_selected
OG0007334,paml_selected
OG0007336,paml_selected
OG0007337,paml_selected
OG0007340,paml_selected
OG0007342,paml_selected
OG0007354,paml_selected
OG0007360,paml_selected
OG0007378,paml_selected
OG0007382,paml_selected
OG0007391,paml_selected
OG0007393,paml_selected
OG0007398,paml_selected
OG0007407,paml_selected
OG0007417,paml_selected
OG0007446,paml_selected
OG0007457,paml_selected
OG0007489,paml_selected
OG0007495,paml_selected
OG0007497,paml_selected
OG0007500,paml_selected
OG0007522,paml_selected
OG0007541,paml_selected
OG0007554,paml_selected
OG0007574,paml_selected
OG0007578,paml_selected
OG0007584,paml_selected
OG0007589,paml_selected
OG0007593,paml_selected
OG0007600,paml_selected
OG0007603,paml_selected
OG0007621,paml_selected
OG0007632,paml_selected
OG0007674,paml_selected
OG0007679,paml_selected
OG0007688,paml_selected
OG0007714,paml_selected
OG0007719,paml_selected
OG0007720,paml_selected
OG0007742,paml_selected
OG0007747,paml_selected
OG0007766,paml_selected
OG0007774,paml_selected
OG0007784,paml_selected
OG0007800,paml_selected
OG0007817,paml_selected
OG0007832,paml_selected
OG0007834,paml_selected
OG0007840,paml_selected
OG0007842,paml_selected
OG0007843,paml_selected
OG0007845,paml_selected
OG0007851,paml_selected
OG0007862,paml_selected
OG0007888,paml_selected
OG0007897,paml_selected
OG0007936,paml_selected
OG0007952,paml_selected
OG0007956,paml_selected
OG0007970,paml_selected
OG0007974,paml_selected
OG0007987,paml_selected
OG0007988,paml_selected
OG0008006,paml_selected
OG0008008,paml_selected
OG0008031,paml_selected
OG0008032,paml_selected
OG0008034,paml_selected
OG0008082,paml_selected
OG0008105,paml_selected
OG0008126,paml_selected
OG0008131,paml_selected
OG0008175,paml_selected
OG0008182,paml_selected
OG0008204,paml_selected
OG0008212,paml_selected
OG0008215,paml_selected
OG0008218,paml_selected
OG0008231,paml_selected
OG0008258,paml_selected
OG0008272,paml_selected
OG0008276,paml_selected
OG0008277,paml_selected
OG0008281,paml_selected
OG0008283,paml_selected
OG0008292,paml_selected
OG0008300,paml_selected
OG0008315,paml_selected
OG0008320,paml_selected
OG0008328,paml_selected
OG0008334,paml_selected
OG0008348,paml_selected
OG0008368,paml_selected
OG0008388,paml_selected
OG0008391,paml_selected
OG0008401,paml_selected
OG0008440,paml_selected
OG0008454,paml_selected
OG0008458,paml_selected
OG0008462,paml_selected
OG0008475,paml_selected
OG0008478,paml_selected
OG0008481,paml_selected
OG0008485,paml_selected
OG0008493,paml_selected
OG0008495,paml_selected
OG0008540,paml_selected
OG0008545,paml_selected
OG0008559,paml_selected
OG0008602,paml_selected
OG0008629,paml_selected
OG0008634,paml_selected
OG0008638,paml_selected
OG0008639,paml_selected
OG0008665,paml_selected
OG0008667,paml_selected
OG0008668,paml_selected
OG0008683,paml_selected
OG0008684,paml_selected
