"FamilyID","Rhtyp","Cacar","Sasal","Darer","Acbae","Ercal","Prang","Modom","Cocri","Ororc","Botau","Ovari","Myluc","Scvul","Ranor","Hegla","Capor","Hosap","Chsab","Elmax","Ancor","Tagut","Chpic","Tecar","Lacha","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49"
"OG0000123","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","N/A","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP"
"OG0000124","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000126","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000128","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","N/A","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000129","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","EXP","NO","EXP","NO","NO","EXP","EXP","NO","NO","NO","NO","N/A","NO","NO","NO","NO","EXP","NO","NO","NO","EXP","EXP","NO","NO","NO","NO","EXP","NO","EXP","NO","NO","NO","NO","NO","NO"
"OG0000130","NO","NO","EXP","NO","NO","NO","EXP","NO","NO","NO","NO","NO","EXP","EXP","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","N/A","NO","EXP","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000131","NO","NO","EXP","NO","NO","NO","EXP","NO","NO","NO","EXP","NO","NO","NO","EXP","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","N/A","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","EXP","EXP","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000132","NO","NO","EXP","NO","NO","EXP","NO","NO","NO","EXP","NO","NO","EXP","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","N/A","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO"
"OG0000134","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000135","NO","NO","NO","NO","EXP","NO","EXP","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","EXP","NO","EXP","NO","NO","NO","NO","N/A","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP"
