FamilyID,pvalue,cave.ratio,surface.ratio,DIFF,significant
OG0031350,0.064935065,0.5,0,0.5,no
OG0031351,0.064935065,0.5,0,0.5,no
OG0031438,0.064935065,0.5,0,0.5,no
OG0031445,0.064935065,0.5,0,0.5,no
OG0031461,0.064935065,0.5,0,0.5,no
OG0000048,0.168831169,0.5,0.066666667,0.4,no
OG0000094,0.168831169,0.5,0.066666667,0.4,no
OG0000136,0.168831169,0.5,0.066666667,0.4,no
OG0000163,0.168831169,0.5,0.066666667,0.4,no
OG0000200,0.168831169,0.5,0.066666667,0.4,no
OG0000247,0.168831169,0.5,0.066666667,0.4,no
OG0000281,0.168831169,0.5,0.066666667,0.4,no
OG0000334,0.168831169,0.5,0.066666667,0.4,no
OG0000439,0.168831169,0.5,0.066666667,0.4,no
OG0000549,0.168831169,0.5,0.066666667,0.4,no
OG0000759,0.168831169,0.5,0.066666667,0.4,no
OG0001144,0.168831169,0.5,0.066666667,0.4,no
OG0001283,0.168831169,0.5,0.066666667,0.4,no
OG0001284,0.168831169,0.5,0.066666667,0.4,no
OG0001339,0.168831169,0.5,0.066666667,0.4,no
OG0001416,0.168831169,0.5,0.066666667,0.4,no
OG0001509,0.168831169,0.5,0.066666667,0.4,no
OG0001830,0.168831169,0.5,0.066666667,0.4,no
OG0002856,0.168831169,0.5,0.066666667,0.4,no
OG0005022,0.168831169,0.5,0.066666667,0.4,no
OG0006898,0.168831169,0.5,0.066666667,0.4,no
OG0007938,0.168831169,0.5,0.066666667,0.4,no
OG0008302,0.168831169,0.5,0.066666667,0.4,no
OG0008773,0.168831169,0.5,0.066666667,0.4,no
OG0010129,0.168831169,0.5,0.066666667,0.4,no
OG0012044,0.168831169,0.5,0.066666667,0.4,no
OG0013260,0.168831169,0.5,0.066666667,0.4,no
OG0013287,0.168831169,0.5,0.066666667,0.4,no
OG0013539,0.168831169,0.5,0.066666667,0.4,no
OG0013639,0.168831169,0.5,0.066666667,0.4,no
OG0013960,0.168831169,0.5,0.066666667,0.4,no
OG0014039,0.168831169,0.5,0.066666667,0.4,no
OG0014138,0.168831169,0.5,0.066666667,0.4,no
OG0014648,0.168831169,0.5,0.066666667,0.4,no
OG0014849,0.168831169,0.5,0.066666667,0.4,no
