OG	count
OG0010879	1
OG0009480	1
OG0007202	1
OG0010829	1
OG0012135	1
OG0008186	1
OG0010684	1
OG0012123	1
OG0013001	1
OG0012199	1
OG0011951	1
OG0011221	1
OG0011540	1
OG0006594	1
OG0010113	1
OG0009792	1
OG0012383	1
OG0007795	1
OG0011446	1
OG0010280	1
OG0009860	1
OG0009644	1
OG0007762	1
OG0006326	1
OG0007099	1
OG0012797	1
OG0012265	1
OG0013553	1
OG0012309	1
OG0010334	1
OG0007241	1
OG0007816	1
OG0011652	1
OG0010022	1
OG0010780	1
OG0010149	1
OG0013051	1
OG0011285	1
OG0006421	1
OG0009690	1
OG0010696	1
OG0007822	1
OG0011496	1
OG0007932	1
OG0009438	1
OG0010096	1
OG0009241	1
OG0008358	1
OG0008228	1
OG0009407	1
OG0011459	1
OG0013331	1
OG0009150	1
OG0012999	1
OG0009983	1
OG0011544	1
OG0007044	1
OG0011778	1
OG0012558	1
OG0013110	1
OG0011931	1
OG0010431	1
OG0008596	1
OG0008128	1
OG0007301	1
OG0008592	1
OG0010414	1
OG0009492	1
OG0006646	1
OG0010421	1
OG0011102	1
OG0009499	1
OG0013611	1
OG0005546	1
OG0012245	1
OG0013415	1
OG0006526	1
OG0009899	1
OG0010747	1
OG0007667	1
OG0008331	1
OG0011523	1
OG0008839	1
OG0006503	1
OG0010079	1
OG0007276	1
OG0010824	1
OG0012008	1
OG0009385	1
OG0006128	1
OG0008922	1
OG0008426	1
OG0010002	1
OG0009890	1
OG0010059	1
OG0010358	1
OG0011605	1
OG0012117	1
OG0007598	1
OG0010634	1
OG0007633	1
OG0010791	1
OG0009820	1
OG0009301	1
OG0011771	1
OG0011686	1
OG0008227	1
OG0013349	1
OG0007108	1
OG0013364	1
OG0010651	1
OG0010615	1
OG0009518	1
OG0012530	1
OG0010288	1
OG0012257	1
OG0006571	1
OG0009938	1
OG0010609	1
OG0009025	1
OG0011589	1
OG0010775	1
OG0010765	1
OG0008768	1
OG0008898	1
OG0009065	1
OG0009037	1
OG0011944	1
OG0013473	1
OG0012385	1
OG0008823	1
OG0011678	1
OG0009002	1
OG0012736	1
OG0010368	1
OG0011600	1
OG0010051	1
OG0007582	1
OG0010705	1
OG0010263	1
OG0006687	1
OG0012561	1
OG0010623	1
OG0010639	1
OG0007801	1
OG0011253	1
OG0009082	1
OG0010632	1
OG0012640	1
OG0009233	1
OG0007823	1
OG0010388	1
OG0007323	1
OG0011505	1
OG0009091	1
OG0010087	1
OG0009426	1
OG0011780	1
OG0010721	1
OG0007160	1
OG0010751	1
OG0007009	1
OG0008830	1
OG0012775	1
OG0009669	1
OG0008140	1
OG0012957	1
OG0007457	1
OG0010070	1
OG0011302	1
OG0011365	1
OG0013063	1
OG0009996	1
OG0005244	1
OG0009822	1
OG0008571	1
OG0007290	1
OG0010312	1
OG0006453	1
OG0008523	1
OG0007579	1
OG0010640	1
OG0009698	1
OG0009651	1
OG0011747	1
OG0005629	1
OG0008866	1
OG0013486	1
OG0008852	1
OG0011399	1
OG0009544	1
OG0006998	1
OG0008608	1
OG0007075	1
OG0011160	1
OG0009874	1
OG0010842	1
OG0008462	1
OG0012228	1
OG0011710	1
OG0013079	1
OG0011323	1
OG0010878	1
OG0014188	1
OG0011707	1
OG0012273	1
OG0010441	1
OG0009105	1
OG0008843	1
OG0009186	1
OG0007967	1
OG0009707	1
OG0012675	1
OG0007729	1
OG0011388	1
OG0010381	1
OG0007064	1
OG0008558	1
OG0009019	1
OG0009761	1
OG0013071	1
OG0010473	1
OG0011989	1
OG0013377	1
OG0009637	1
OG0010514	1
OG0009663	1
OG0011103	1
OG0008455	1
OG0010528	1
OG0013257	1
OG0006641	1
OG0008109	1
OG0008079	1
